necropsy_ID,animal_ID,sex_bin,sex,weight_kg,birth_date,age_yrs,age_class_bin,age_class,hurricanes_exp,group_bin,group,collection_season,sample_date,date_numeric,tt_present,ps_present,coinfection_ratio,infant_present,L.adrenal_wt,R.adrenal_wt_g,r_ad_kg,L_adrenal_wt_adjusted,r_adrenal_bw_scaled_kg,r_adrenal_adj_g,spleen_wt,sp_kg,spleen_wt_adjusted_kg,spleen_wt_ad_g,comments,WBC 10^9/l,LYM 10^9/l,MON 10^9/l,NEU 10^9/l,LYM% %,MON% %,NEU% %,RBC 10^12/l,HGB g/dl,HCT %,MCV fl,MCH pg,RDWs fl,PLT 10^9/l,PCT %,MPV fl,PDWs fl,PDWc %
N22013,AB9,1,f,6.00,2016-07-18,6.5079,2,young adult,both,4,R,2023,2023-01-20,"44,946.00",0,10,0,no,0.72,0.16,0.0001600,0.0012,0.0000,0.0267,5.12,0.00512,0.0009,0.8533,,2.23,0.28,0.01,1.94,12.3,0.6,87.1,1.12,2.2,8.78,78,19.5,41.4,43,0.04,8.5,11.5,34.4
N22009,3Y3,1,f,6.06,2017-08-04,5.4593,2,young adult,both,0,F,2023,2023-01-19,"44,945.00",0,21,0,no,0.81,0.6,0.0006000,0.0013,0.0001,0.0990,8.07,0.00807,0.0013,1.3317,,11.43,0.3,2.51,8.62,2.6,22,75.4,5.29,12,39.91,75,22.7,41.4,396,0.37,9.3,14,36.9
N22032,AG0,1,f,6.38,2016-08-29,6.412,2,young adult,both,4,R,2023,2023-01-27,"44,953.00",0,24,0,yes,0.63,0.53,0.0005300,0.0010,0.0001,0.0831,4.2,0.0042,0.0007,0.6583,,20.48,3.75,0.12,16.61,18.3,0.6,81.1,5.95,13.9,43.12,73,23.4,43,395,0.36,9.2,13.4,36.4
N22019,3Y0,1,f,7.56,2016-07-15,6.5298,2,young adult,both,0,F,2023,2023-01-25,"44,951.00",0,25,0,no,0.71,0.61,0.0006100,0.0009,0.0001,0.0807,11.33,0.01133,0.0015,1.4987,"pregnant, 51-65 days gestation, fetus collected",13.1,0.33,2.39,10.38,2.5,18.3,79.2,5.74,12.6,41.36,72,21.9,43.8,372,0.3,8.2,12.6,35.6
N22053,0W8,1,f,7.54,2015-08-12,7.4962,2,young adult,both,4,R,2023,2023-02-09,"44,966.00",0,26,0,yes,0.79,1.24,0.0012400,0.0010,0.0002,0.1645,7.16,0.00716,0.0009,0.9496,,10.39,0.15,1.07,9.16,1.4,10.3,88.2,4.99,10.7,36.49,73,21.5,43.8,469,0.43,9.1,14,36.9
N22011,AG6,0,m,7.38,2017-09-10,5.358,2,young adult,both,0,F,2023,2023-01-19,"44,945.00",0,58,0,no,0.69,0.48,0.0004800,0.0009,0.0001,0.0650,7.61,0.00761,0.0010,1.0312,,9.05,0.18,2.26,6.61,1.9,25,73,5.19,11.9,38.55,74,22.8,41.4,348,0.27,7.7,10.1,32.7
N22007,5Y3,1,f,6.94,2016-07-16,6.5106,2,young adult,both,7,SS,2023,2023-01-19,"44,945.00",0,63,0,no,0.59,0.51,0.0005100,0.0009,0.0001,0.0735,8.66,0.00866,0.0012,1.2478,left side of fallopian tube had fluid filled cyst,9.61,0.36,1.71,7.54,3.7,17.8,78.5,5.72,12,40.42,71,20.9,40.6,316,0.31,9.7,15.9,37.6
N22052,3V4,1,f,7.34,2015-09-02,7.4387,2,young adult,both,4,R,2023,2023-02-09,"44,966.00",1,42,1,yes,0.91,0.79,0.0007900,0.0012,0.0001,0.1076,6.52,0.00652,0.0009,0.8883,,21.77,0.3,2.28,19.19,1.4,10.5,88.1,5,11.1,36.96,74,22.2,43,498,0.42,8.5,12.6,35.6
N22049,0W6,1,f,6.64,2015-08-12,7.4935,2,young adult,both,4,R,2023,2023-02-08,"44,965.00",1,79,1,no,1.01,1.44,0.0014400,0.0015,0.0002,0.2169,6.49,0.00649,0.0010,0.9774,,7.61,0.17,1.34,6.1,2.3,17.6,80.1,5.35,11.4,40,75,21.3,45.3,361,0.32,8.9,13.4,36.4
N22034,9X9,1,f,6.10,2016-09-08,6.3956,2,young adult,both,0,F,2023,2023-01-31,"44,957.00",2,22,1,no,0.13,0.86,0.0008600,0.0002,0.0001,0.1410,4.55,0.00455,0.0007,0.7459,,23.34,3.91,1.65,17.78,16.8,7.1,76.2,6.66,16.8,50.33,76,25.2,45.3,298,0.32,10.8,19.2,39.8
N22029,1W1,1,f,7.52,2015-07-04,7.5647,2,young adult,both,4,R,2023,2023-01-26,"44,952.00",2,26,1,yes,1.09,0.75,0.0007500,0.0014,0.0001,0.0997,8.45,0.00845,0.0011,1.1237,,9.25,2.94,0.19,6.11,31.8,2.1,66.1,5.85,12,39.93,68,20.6,42.2,449,0.44,9.9,16.7,39.1
N22022,AA6,1,f,6.54,2017-06-23,5.5907,2,young adult,both,0,F,2023,2023-01-25,"44,951.00",5,7,1,no,0.66,0.45,0.0004500,0.0010,0.0001,0.0688,4.3,0.0043,0.0007,0.6575,,11.02,0.39,1.79,8.85,3.6,16.2,80.2,6.21,14.1,46.33,75,22.7,42.2,404,0.4,10,15.9,37.6
N22038,AF4,1,f,6.90,2017-09-07,5.4018,2,young adult,both,4,R,2023,2023-02-01,"44,958.00",6,0,0,yes,0.67,0.65,0.0006500,0.0010,0.0001,0.0942,4.62,0.00462,0.0007,0.6696,,12.12,0.8,3.01,8.31,6.6,24.8,68.6,5.56,12.6,40.99,74,22.7,44.5,345,0.33,9.5,14.3,37.2
N22020,1W5,1,f,3.96,2015-08-14,7.4497,2,young adult,both,4,R,2023,2023-01-25,"44,951.00",8,117,1,no,0.66,0.63,0.0006300,0.0017,0.0002,0.1591,6.52,0.00652,0.0016,1.6465,,16.03,2.83,0.77,12.43,17.6,4.8,77.5,4.69,9.9,32.37,69,21,41.4,445,0.38,8.6,13.4,36.4
N22010,1Y1,1,f,5.46,2017-08-22,5.41,2,young adult,both,0,F,2023,2023-01-19,"44,945.00",13,66,1,no,0.38,0.47,0.0004700,0.0007,0.0001,0.0861,5.93,0.00593,0.0011,1.0861,,14.92,0.97,2.94,11.01,6.5,19.7,73.8,5.72,14,41.14,72,24.5,41.4,375,0.36,9.5,14.5,37.4
N22014,AF2,0,m,9.58,2016-06-14,6.6119,2,young adult,both,0,F,2023,2023-01-24,"44,950.00",14,30,1,no,0.78,0.58,0.0005800,0.0008,0.0001,0.0605,8.03,0.00803,0.0008,0.8382,,15.16,0.87,2.52,11.77,5.7,16.6,77.7,5.62,11.9,39.74,71,21.2,43,443,0.4,9,11.2,34.1
N22036,2V3,1,f,7.04,2015-07-27,7.5154,2,young adult,both,4,R,2023,2023-01-31,"44,957.00",15,40,1,yes,0.87,0.6,0.0006000,0.0012,0.0001,0.0852,5.86,0.00586,0.0008,0.8324,,12.74,0.15,1.01,11.58,1.2,7.9,90.9,5.75,12.2,40.75,71,21.3,40.6,377,0.29,7.7,10.7,33.4
